tournament,p1,p1_odds,p2,p2_odds
french open,Karen Khachanov,−1100,Aleksandar Vukic,+650
french open,Marcos Giron,+245,Tallon Griekspoor,−330
french open,Jiri Lehecka,−575,Jordan Thompson,+400
french open,Gael Monfils,−380,Hugo Dellien,+280
french open,Ethan Quinn,+220,Grigor Dimitrov,−300
french open,Terence Atmane,−165,Richard Gasquet,+125
french open,Matteo Arnaldi,+105,Felix Auger Aliassime,−135
french open,Sebastian Ofner,−275,Jan-Lennard Struff,+210
french open,Alex De Minaur,−380,Laslo Djere,+270
french open,Alejandro Tabilo,−175,Arthur Cazaux,+135
french open,Mackenzie McDonald,+2200,Novak Djokovic,−5000
french open,Hubert Hurkacz,+105,Joao Fonseca,−140
french open,Daniel Altmaier,+245,Taylor Fritz,−330
french open,Luciano Darderi,+120,Sebastian Korda,−165
french open,Giulio Zeppieri,+2500,Carlos Alcaraz,−10000
french open,Pierre-Hugues Herbert,+125,Benjamin Bonzi,−165
french open,Nikoloz Basilashvili,−200,Henrique Rocha,+150
french open,Roberto Bautista Agut,+400,Holger Rune,−575
french open,Marin Cilic,+150,Flavio Cobolli,−200
french open,Camilo Ugo Carabelli,+120,Jaume Munar,−165
french open,Christopher O'Connell,+160,Ugo Humbert,−215
french open,Maximilian Marterer,−380,Adam Walton,+285
french open,Miomir Kecmanovic,+105,Sebastian Baez,−140
french open,Mattia Bellucci,+1800,Jack Draper,−5000
french open,Jesper De Jong,−175,Francesco Passaro,+135
french open,Yoshihito Nishioka,+425,Alexei Popyrin,−600
french open,Alexander Bublik,−525,James Duckworth,+380
french open,Jannik Sinner,−10000,Arthur Rinderknech,+2500
french open,Tomas Martin Etcheverry,+320,Stefanos Tsitsipas,−450
french open,Alexandre Muller,+210,Jakub Mensik,−275
french open,Andrey Rublev,−1400,Lloyd Harris,+800
french open,Alexander Zverev,−3000,Learner Tien,+1400
french open,Jacob Fearnley,−215,Stan Wawrinka,+160
french open,Nicolas Jarry,+475,Arthur Fils,−700
french open,Denis Shapovalov,−250,Pedro Martinez,+185
french open,Francisco Cerundolo,−900,Gabriel Diallo,+600
french open,Alexander Shevchenko,+140,Dusan Lajovic,−200
french open,Daniil Medvedev,−450,Cameron Norrie,+320
french open,Pablo Llamas Ruiz,+600,Alejandro Davidovich Fokina,−900
french open,Hugo Gaston,−200,Ugo Blanchet,+150
french open,Mariano Navone,−200,Brandon Nakashima,+150
french open,Marton Fucsovics,−1100,Tristan Schoolkate,+700
french open,Casper Ruud,−2500,Albert Ramos-Vinolas,+1300
french open,Kamil Majchrzak,+125,Hamad Medjedovic,−175
french open,Elmer Moeller,+550,Tommy Paul,−800
french open,Corentin Moutet,−380,Clement Tabur,+280
french open,Filip Misolic,−200,Yunchaokete Bu,+150
french open,Pablo Carreno Busta,+140,Francisco Comesana,−185
french open,Alex Michelsen,−110,Juan Manuel Cerundolo,−120
french open,Reilly Opelka,−225,Rinky Hijikata,+160
french open,Thiago Agustin Tirante,+110,Damir Dzumhur,−140
french open,Giovanni Mpetshi Perricard,−125,Zizou Bergs,−105
french open,Valentin Royer,−150,Daniel Elahi Galan,+120
french open,Vit Kopriva,−240,Thiago Monteiro,+180
french open,Fabian Marozsan,−450,Luca Nardi,+320
french open,Benjamin Hassan,+150,Matteo Gigante,−200
french open,Frances Tiafoe,−240,Roman Safiullin,+185
french open,Lorenzo Musetti,−1400,Yannick Hanfmann,+850
french open,Jenson Brooksby,−175,Jaime Faria,+125
french open,Kyrian Jacquet,+135,Nuno Borges,−175
french open,Emilio Nava,+100,Botic Van De Zandschulp,−130
french open,Tomas Machac,−250,Quentin Halys,+185
french open,Ben Shelton,−165,Lorenzo Sonego,+125
french open,Jaume Munar,+390,Arthur Fils,−575
french open,Henrique Rocha,+1100,Jakub Mensik,−2000
french open,Alex De Minaur,−1100,Alexander Bublik,+650
french open,Jiri Lehecka,+100,Alejandro Davidovich Fokina,−130
french open,Alexander Zverev,−2500,Jesper De Jong,+1300
french open,Andrey Rublev,−3500,Adam Walton,+1700
french open,Jannik Sinner,−3500,Richard Gasquet,+1700
french open,Gabriel Diallo,+135,Tallon Griekspoor,−175
french open,Corentin Moutet,+950,Novak Djokovic,−2000
french open,Cameron Norrie,−750,Federico Agustin Gomez,+500
french open,Joao Fonseca,−2000,Pierre-Hugues Herbert,+1000
french open,Flavio Cobolli,−140,Matteo Arnaldi,+110
french open,Alexander Shevchenko,−130,Ethan Quinn,+100
french open,Jacob Fearnley,+110,Ugo Humbert,−150
french open,Denis Shapovalov,−185,Filip Misolic,+140
french open,Gael Monfils,+425,Jack Draper,−600
french open,Lorenzo Musetti,−800,Mariano Navone,+550
french open,Damir Dzumhur,+1800,Carlos Alcaraz,−5000
french open,Karen Khachanov,−140,Tommy Paul,+105
french open,Nuno Borges,+100,Alexei Popyrin,−135
french open,Hamad Medjedovic,−200,Daniel Altmaier,+140
french open,Ben Shelton,−225,Matteo Gigante,+175
