tournament,date,series,court,surface,round,best_of,p1,p1_utr,p2,p2_utr,winner,rank1,rank2,pts1,pts2,odd1,odd2,score
Heineken Open,1/6/2014,ATP250,Outdoor,Hard,1st Round,3,Giraldo S.,15.1,Montanes A.,UR,Giraldo S.,68,59,703,766,1.2,4.33,6-1 7-6
Heineken Open,1/6/2014,ATP250,Outdoor,Hard,1st Round,3,Mannarino A.,15.33,Sock J.,15.48,Sock J.,71,100,692,545,1.61,2.2,3-6 4-6
Heineken Open,1/6/2014,ATP250,Outdoor,Hard,1st Round,3,Zeballos H.,UR,Volandri F.,UR,Zeballos H.,66,70,710,694,1.33,3.25,6-0 7-6
Heineken Open,1/6/2014,ATP250,Outdoor,Hard,1st Round,3,Delbonis F.,15.46,Young D.,14.43,Young D.,54,96,826,563,3.25,1.33,5-7 2-6
Heineken Open,1/6/2014,ATP250,Outdoor,Hard,1st Round,3,Lacko L.,15.16,Statham J.,UR,Lacko L.,90,288,595,155,1.12,6.0,6-3 6-1
Heineken Open,1/7/2014,ATP250,Outdoor,Hard,1st Round,3,Haase R.,15.06,Garcia-Lopez G.,UR,Garcia-Lopez G.,44,58,977,776,1.72,2.0,6-4 5-7 6-7
Heineken Open,1/7/2014,ATP250,Outdoor,Hard,1st Round,3,Bautista R.,UR,Gimeno-Traver D.,UR,Bautista R.,73,80,680,650,1.4,2.75,6-1 3-6 6-4
Heineken Open,1/7/2014,ATP250,Outdoor,Hard,1st Round,3,Carreno-Busta P.,UR,Kohlschreiber P.,UR,Kohlschreiber P.,61,22,739,1525,5.5,1.14,2-6 6-3 5-7
Heineken Open,1/7/2014,ATP250,Outdoor,Hard,1st Round,3,Lu Y.H.,UR,Sijsling I.,14.4,Lu Y.H.,62,69,730,697,3.0,1.36,7-5 7-6
Heineken Open,1/7/2014,ATP250,Outdoor,Hard,1st Round,3,Przysiezny M.,UR,Paire B.,15.2,Paire B.,63,28,730,1300,2.5,1.5,4-6 2-6
Heineken Open,1/7/2014,ATP250,Outdoor,Hard,1st Round,3,Klahn B.,15.0,Brands D.,UR,Klahn B.,95,57,568,779,3.0,1.36,7-5 4-6 6-3
Heineken Open,1/7/2014,ATP250,Outdoor,Hard,1st Round,3,Baghdatis M.,UR,Johnson S.,15.62,Johnson S.,109,160,515,327,1.36,3.0,5-7 7-6 4-6
Heineken Open,1/7/2014,ATP250,Outdoor,Hard,2nd Round,3,Sock J.,15.48,Haas T.,UR,Sock J.,100,12,545,2435,3.4,1.3,6-4 6-4
Heineken Open,1/7/2014,ATP250,Outdoor,Hard,2nd Round,3,Zeballos H.,UR,Kohlschreiber P.,UR,Kohlschreiber P.,66,22,710,1525,5.0,1.14,4-6 2-6
Heineken Open,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Isner J.,UR,Lacko L.,15.16,Isner J.,14,90,2150,595,1.36,3.0,7-6 3-6 6-2
Heineken Open,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Paire B.,15.2,Bautista R.,UR,Bautista R.,28,73,1300,680,1.66,2.1,3-6 4-6
Heineken Open,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Lu Y.H.,UR,Klahn B.,15.0,Lu Y.H.,62,95,730,568,1.66,2.1,6-7 6-2 6-3
Heineken Open,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Anderson K.,14.38,Johnson S.,15.62,Johnson S.,20,160,1685,327,1.33,3.25,5-7 4-6
Heineken Open,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Garcia-Lopez G.,UR,Giraldo S.,15.1,Garcia-Lopez G.,58,68,776,703,1.72,2.0,6-7 6-2 6-3
Heineken Open,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Young D.,14.43,Ferrer D.,UR,Ferrer D.,96,3,563,5800,7.0,1.1,7-6 3-6 1-6
Heineken Open,1/8/2014,ATP250,Outdoor,Hard,Quarterfinals,3,Bautista R.,UR,Sock J.,15.48,Bautista R.,73,100,680,545,1.66,2.1,6-1 6-3
Heineken Open,1/9/2014,ATP250,Outdoor,Hard,Quarterfinals,3,Kohlschreiber P.,UR,Isner J.,UR,Isner J.,22,14,1525,2150,1.72,2.0,7-6 6-7 6-7
Heineken Open,1/9/2014,ATP250,Outdoor,Hard,Quarterfinals,3,Lu Y.H.,UR,Johnson S.,15.62,Lu Y.H.,62,160,730,327,1.53,2.37,6-4 6-4
Heineken Open,1/9/2014,ATP250,Outdoor,Hard,Quarterfinals,3,Garcia-Lopez G.,UR,Ferrer D.,UR,Ferrer D.,58,3,776,5800,5.5,1.14,3-6 7-5 4-6
Heineken Open,1/10/2014,ATP250,Outdoor,Hard,Semifinals,3,Isner J.,UR,Bautista R.,UR,Isner J.,14,73,2150,680,1.44,2.75,3-6 7-6 6-4
Heineken Open,1/10/2014,ATP250,Outdoor,Hard,Semifinals,3,Ferrer D.,UR,Lu Y.H.,UR,Lu Y.H.,3,62,5800,730,1.16,5.0,4-6 6-7
Heineken Open,1/11/2014,ATP250,Outdoor,Hard,The Final,3,Isner J.,UR,Lu Y.H.,UR,Isner J.,14,62,2150,730,1.44,2.75,7-6 7-6
Apia International,1/6/2014,ATP250,Outdoor,Hard,1st Round,3,Andujar P.,UR,Istomin D.,UR,Istomin D.,48,49,946,945,4.5,1.18,1-6 2-6
Apia International,1/6/2014,ATP250,Outdoor,Hard,1st Round,3,Benneteau J.,UR,Ebden M.,14.9,Benneteau J.,35,65,1160,711,1.57,2.25,6-2 6-2
Apia International,1/6/2014,ATP250,Outdoor,Hard,1st Round,3,Sousa J.,15.27,Rosol L.,UR,Rosol L.,51,47,934,956,2.2,1.61,6-7 6-4 6-7
Apia International,1/7/2014,ATP250,Outdoor,Hard,1st Round,3,Cilic M.,15.75,Struff J-L.,UR,Cilic M.,37,106,1130,523,1.12,6.0,3-6 6-3 6-3
Apia International,1/7/2014,ATP250,Outdoor,Hard,1st Round,3,Harrison R.,14.29,Mahut N.,UR,Mahut N.,99,50,549,938,1.83,1.83,6-7 5-7
Apia International,1/7/2014,ATP250,Outdoor,Hard,1st Round,3,Ramos A.,15.42,Querrey S.,15.32,Ramos A.,85,46,617,960,4.5,1.16,4-6 6-3 6-4
Apia International,1/7/2014,ATP250,Outdoor,Hard,1st Round,3,Groth S.,UR,Stepanek R.,UR,Stepanek R.,157,45,334,970,4.33,1.2,7-6 6-7 2-6
Apia International,1/7/2014,ATP250,Outdoor,Hard,1st Round,3,Stakhovsky S.,UR,Berlocq C.,UR,Stakhovsky S.,101,41,544,1020,1.44,2.62,6-3 6-4
Apia International,1/7/2014,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,UR,Kavcic B.,15.02,Kavcic B.,39,102,1090,542,1.25,3.75,4-6 3-6
Apia International,1/7/2014,ATP250,Outdoor,Hard,1st Round,3,Matosevic M.,UR,Mayer F.,15.39,Matosevic M.,56,38,819,1110,2.1,1.66,6-2 4-6 6-3
Apia International,1/7/2014,ATP250,Outdoor,Hard,1st Round,3,Granollers M.,14.62,Tomic B.,15.39,Tomic B.,224,52,215,910,3.4,1.3,3-6 0-6
Apia International,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Matosevic M.,UR,Seppi A.,UR,Matosevic M.,56,25,819,1360,1.66,2.1,6-3 6-4
Apia International,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Benneteau J.,UR,Stakhovsky S.,UR,Stakhovsky S.,35,101,1160,544,1.44,2.62,3-6 2-6
Apia International,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Tursunov D.,UR,Rosol L.,UR,Tursunov D.,32,47,1244,956,1.53,2.37,3-6 6-3 6-3
Apia International,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Ramos A.,15.42,Stepanek R.,UR,Stepanek R.,85,45,617,970,4.33,1.2,2-6 6-7
Apia International,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Del Potro J.M.,UR,Mahut N.,UR,Del Potro J.M.,5,50,5255,938,1.11,6.5,1-6 6-3 6-4
Apia International,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Kavcic B.,15.02,Tomic B.,15.39,Tomic B.,102,52,542,910,4.5,1.18,3-6 6-4 4-6
Apia International,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Istomin D.,UR,Cilic M.,15.75,Istomin D.,49,37,945,1130,3.0,1.36,6-3 6-4
Apia International,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Janowicz J.,15.46,Dolgopolov O.,15.44,Dolgopolov O.,21,55,1615,825,1.9,1.8,2-6 2-6
Apia International,1/9/2014,ATP250,Outdoor,Hard,Quarterfinals,3,Del Potro J.M.,UR,Stepanek R.,UR,Del Potro J.M.,5,45,5255,970,1.25,3.75,6-4 3-6 6-3
Apia International,1/9/2014,ATP250,Outdoor,Hard,Quarterfinals,3,Istomin D.,UR,Tursunov D.,UR,Tursunov D.,49,32,945,1244,1.61,2.2,6-7 2-6
Apia International,1/9/2014,ATP250,Outdoor,Hard,Quarterfinals,3,Tomic B.,15.39,Dolgopolov O.,15.44,Tomic B.,52,55,910,825,2.0,1.72,6-4 6-3
Apia International,1/9/2014,ATP250,Outdoor,Hard,Quarterfinals,3,Matosevic M.,UR,Stakhovsky S.,UR,Stakhovsky S.,56,101,819,544,1.57,2.25,4-6 3-6
Apia International,1/10/2014,ATP250,Outdoor,Hard,Semifinals,3,Del Potro J.M.,UR,Tursunov D.,UR,Del Potro J.M.,5,32,5255,1244,1.2,4.5,6-4 6-2
Apia International,1/10/2014,ATP250,Outdoor,Hard,Semifinals,3,Stakhovsky S.,UR,Tomic B.,15.39,Tomic B.,101,52,544,910,3.25,1.36,7-6 5-7 3-6
Apia International,1/11/2014,ATP250,Outdoor,Hard,The Final,3,Del Potro J.M.,UR,Tomic B.,15.39,Del Potro J.M.,5,52,5255,910,1.25,4.0,6-3 6-1
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Karlovic I.,UR,Dodig I.,UR,Dodig I.,75,34,667,1190,2.37,1.53,6-7 3-6 6-7
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Nieminen J.,UR,Sela D.,9.56,Nieminen J.,39,68,1090,706,1.44,2.62,3-6 7-6 6-7 6-3 6-3
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Struff J.L.,UR,Youzhny M.,UR,Youzhny M.,105,15,527,2145,4.0,1.22,1-6 4-6 2-6
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Falla A.,UR,Kukushkin M.,15.52,Falla A.,87,66,612,721,1.66,2.1,6-7 6-2 6-2 6-3
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Giraldo S.,15.1,Querrey S.,15.32,Querrey S.,69,51,703,915,3.0,1.36,3-6 2-6 6-3 6-7
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,15.33,Johnson S.,15.62,Mannarino A.,71,147,692,378,2.2,1.61,3-6 6-3 6-0 5-7 6-4
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Hajek J.,UR,Dzumhur D.,15.36,Dzumhur D.,103,188,540,272,2.5,1.5,4-6 2-6 1-6
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,15.85,Sousa J.,15.27,Thiem D.,136,50,422,925,2.0,1.72,5-7 6-4 6-3 7-6
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Kudla D.,15.21,Mayer F.,15.39,Mayer F.,113,37,497,1110,3.5,1.28,4-6 2-6 4-6
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Ferrer D.,UR,Gonzalez A.,10.06,Ferrer D.,3,74,5640,672,1.02,17.0,6-3 6-4 6-4
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Vesely J.,15.37,Anderson K.,14.38,Anderson K.,83,21,636,1580,3.25,1.33,6-2 7-6 4-6 4-6 4-6
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Gulbis E.,UR,Monaco J.,UR,Gulbis E.,24,42,1418,1015,1.16,5.0,1-6 6-4 7-6 6-2
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Wu D.,UR,De Schepper K.,15.13,De Schepper K.,203,86,246,617,1.83,1.83,5-7 5-7 6-7
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Gasquet R.,UR,Guez D.,UR,Gasquet R.,9,176,3140,286,1.06,10.0,7-5 6-4 6-1
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Nedovyesov A.,14.39,Berdych T.,UR,Berdych T.,94,7,586,4180,23.0,1.01,3-6 4-6 3-6
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Ebden M.,14.9,Mahut N.,UR,Ebden M.,67,46,711,958,2.37,1.53,6-3 7-5 4-6 0-6 6-3
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Huta Galung J.,UR,Chardy J.,15.38,Chardy J.,100,31,557,1255,7.0,1.1,2-6 4-6 4-6
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Mayer L.,15.39,Montanes A.,UR,Mayer L.,98,60,579,766,1.36,3.0,6-1 6-3 6-1
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Carreno-Busta P.,UR,Benneteau J.,UR,Benneteau J.,63,38,739,1090,3.4,1.3,3-6 6-3 6-4 1-6 2-6
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,UR,Rosol L.,UR,Robredo T.,18,47,1810,956,1.8,1.9,6-1 6-7 3-6 7-6 8-6
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Berlocq C.,UR,Roger-Vasselin E.,UR,Roger-Vasselin E.,41,40,1020,1038,3.0,1.36,4-6 6-7 7-6 2-6
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Janowicz J.,15.46,Thompson J.,15.16,Janowicz J.,20,319,1615,139,1.25,3.75,1-6 4-6 6-4 6-2 6-1
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Groth S.,UR,Pospisil V.,15.71,Pospisil V.,157,30,334,1289,2.75,1.4,4-6 3-6 4-6
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Andujar P.,UR,Ramos A.,15.42,Andujar P.,48,84,946,626,2.37,1.53,6-4 6-2 6-4
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Kubot L.,UR,Davydenko N.,14.44,Davydenko N.,72,61,686,760,2.25,1.57,6-3 3-6 6-3 3-6 4-6
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Dolgopolov O.,15.44,Berankis R.,15.07,Dolgopolov O.,56,128,825,433,1.33,3.25,7-5 7-5 6-2
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Russell M.,UR,Tursunov D.,UR,Tursunov D.,92,26,594,1314,6.5,1.11,2-6 2-6 3-6
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,14.24,Lacko L.,15.16,Djokovic N.,2,96,12260,582,1.0,41.0,6-3 7-6 6-1
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Baghdatis M.,UR,Istomin D.,UR,Istomin D.,108,49,515,945,2.25,1.57,4-6 5-7 4-6
Australian Open,1/14/2014,Grand Slam,Outdoor,Hard,1st Round,5,Lajovic D.,15.07,Pouille L.,15.32,Lajovic D.,117,193,483,262,1.4,2.75,6-4 7-6 4-6 6-3
