f_name,l_name,dob
Alexander,Zverev,19970420
Martin,Damm,20030930
Hakim,Rezgui,19870101
Jonathan,Dasnieres De Veigy,19870105
Gianluca,Naso,19870106
Yannick,Jankovits,19870106
Jiri,Skoloudik,19870109
Joel,Kincaid,19870112
Dawid,Piatkowski,19870115
Min Hyoek,Cho,19870117
Robert,Farah,19870120
Enrique,Olivares,19870121
Juan Manuel,Agasarkissian,19870126
Artur,Romanowski,19870129
George,Jecminek,19870130
Matus,Horecny,19870130
Olivier,Sajous,19870204
Alex,Kuznetsov,19870205
Sinisa,Markovic,19870206
Christian,Kloimullner,19870208
German,Gaich,19870209
James,Ward,19870209
Sergei,Bubka,19870210
Dmytro,Petrov,19870211
Jeremy,Chardy,19870212
Michael,Johnson,19870213
Aleksandr,Nedovyesov,19870215
Jesper,Brunstrom,19870217
Denes,Lukacs,19870225
Moacir,Santos Filho,19870225
Peter,Aarts,19870225
Sasa,Stojisavljevic,19870226
Myles,Blake,19870227
Egor,Puntus,19870301
Roman,Tudoreanu,19870304
Blaz,Kavcic,19870305
Matteo,Marfia,19870306
Vladislav,Bondarenko,19870308
Philipp,Piyamongkol,19870310
Jurgens,Strydom,19870313
Piero,Luisi,19870313
Martin,Rmus,19870314
Alexandre,Krasnoroutsky,19870317
Andreas,Haider Maurer,19870322
Matias,Saenz,19870323
David,Navarrete,19870326
Maxime,Authom,19870329
Abdullah,Maqdas,19870331
Bruno,Agostinelli,19870401
Matthias,Bachinger,19870402
Robin,Haase,19870406
Nathaniel,Gorham,19870409
Raony,Carvalho,19870410
Vladimir,Ivanov,19870410
Juan Pablo,Yunis,19870411
Andre,Miele,19870412
Federico,Paskvan,19870415
Nicolas,Barrientos,19870424
Sebastian,Serrano,19870424
Jose Rubin,Statham,19870425
Mikal Oliver,Statham,19870425
Sunu Wahyu,Trijati,19870426
Tihomir,Grozdanov,19870429
Mateusz,Kowalczyk,19870503
Cristhian Ignacio,Benedetti,19870505
Ervin,Eleskovic,19870508
Victor,Stanica,19870508
Moritz,Baumann,19870509
Anas,Fattar,19870512
Andy,Murray,19870515
Leonardo,Mayer,19870515
Denys,Molchanov,19870516
Kirati,Siributwong,19870517
Almog,Mashiach,19870518
Martin,Rios Benitez,19870518
Alexandre,Penaud,19870520
Novak,Djokovic,19870522
Fabio,Fognini,19870524
Sardor,Pulatov,19870526
Sun Yong,Kim Jr,19870526
Tristan,Farron Mahon,19870526
Slavko,Bjelica,19870527
Florian,Stephan,19870528
Kenny,De Schepper,19870529
Denis,Bejtulahi,19870601
Thomas,Kromann,19870601
David,Chu,19870603
Jorge Hernando,Ruano,19870603
Ilie,Aurelian Giurgiu,19870604
Mo,Niaki,19870604
Bjorn,Propst,19870605
Boris,Conkic,19870605
Mario,Tupy,19870605
Roman,Recarte,19870607
Ante,Nakic Alfirevic,19870608
Niels,Desein,19870609
James,Mcgee,19870610
Olaf,De Weerdt,19870610
Marsel,Ilhan,19870611
Petar,Jelenic,19870613
Weerapat,Doakmaiklee,19870613
Ervand,Gasparyan,19870614
Aljoscha,Thron,19870615
Martin,Pedersen,19870615
Nikolai,Fidirko,19870615
Andrew,Kennaugh,19870617
Javier,Ruiz Gonzalez,19870617
Guillermo,Gomez Diaz,19870618
Richard,Ruckelshausen,19870619
Carsten,Ball,19870620
Maxim,Filippov,19870621
Miguel Angel,Reyes Varela,19870621
Ryan,Agar,19870621
Matthew,Illingworth,19870623
Yannick,Mertens,19870625
Victor,Kolik,19870630
Pavol,Cervenak,19870701
Idan,Mark,19870704
Alexander,Sadecky,19870706
Matt,Bruch,19870706
Matthias,Kolbe,19870706
Matteo,Viola,19870707
Blake,Strode,19870709
Mauricio,Alvarez Guzman,19870710
Conor,Pollock,19870713
Bryan,Koniecko,19870714
Evgeny,Kirillov,19870714
Ryan,Sweeting,19870714
Ander,De Lorenzo Aracama,19870715
