tournament,date,series,court,surface,round,best_of,p1,p1_utr,p2,p2_utr,winner,rank1,rank2,pts1,pts2,odd1,odd2,p1_games,p2_games,score,p_win
Heineken Open,1/6/2014,ATP250,Outdoor,Hard,1st Round,3,Mannarino A.,15.33,Sock J.,15.48,Sock J.,71,100,692,545,1.61,2.2,7,12,3-6 4-6,1
Heineken Open,1/6/2014,ATP250,Outdoor,Hard,1st Round,3,Delbonis F.,15.46,Young D.,14.43,Young D.,54,96,826,563,3.25,1.33,7,13,5-7 2-6,1
Heineken Open,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Anderson K.,14.38,Johnson S.,15.62,Johnson S.,20,160,1685,327,1.33,3.25,9,13,5-7 4-6,1
Apia International,1/7/2014,ATP250,Outdoor,Hard,1st Round,3,Ramos A.,15.42,Querrey S.,15.32,Ramos A.,85,46,617,960,4.5,1.16,16,13,4-6 6-3 6-4,0
Apia International,1/7/2014,ATP250,Outdoor,Hard,1st Round,3,Granollers M.,14.62,Tomic B.,15.39,Tomic B.,224,52,215,910,3.4,1.3,3,12,3-6 0-6,1
Apia International,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Kavcic B.,15.02,Tomic B.,15.39,Tomic B.,102,52,542,910,4.5,1.18,13,16,3-6 6-4 4-6,1
Apia International,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Janowicz J.,15.46,Dolgopolov O.,15.44,Dolgopolov O.,21,55,1615,825,1.9,1.8,4,12,2-6 2-6,1
Apia International,1/9/2014,ATP250,Outdoor,Hard,Quarterfinals,3,Tomic B.,15.39,Dolgopolov O.,15.44,Tomic B.,52,55,910,825,2.0,1.72,12,7,6-4 6-3,0
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Giraldo S.,15.1,Querrey S.,15.32,Querrey S.,69,51,703,915,3.0,1.36,17,22,3-6 2-6 6-3 6-7,1
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,15.33,Johnson S.,15.62,Mannarino A.,71,147,692,378,2.2,1.61,26,20,3-6 6-3 6-0 5-7 6-4,0
